,Simulation,Consumption Min,Consumption Max,Resource Replenishment Rate,Longevity,Max Population,Avg Population,Total Resources
0,75,0.4870494472077795,1.9278522100285933,27,500,81,62.136,11199722.052511128
1,49,0.336057672839005,1.470276513691839,10,500,43,30.978,1737648.4530185992
2,15,0.1515280905412133,1.9960261998381574,13,500,61,36.206,3374709.3355732774
3,91,0.2862351448574981,1.7111515204422045,30,500,116,87.17,5527716.432528646
4,36,0.10650131543816134,1.4799655493561785,12,500,74,45.884,1159708.2729489286
5,84,0.40581570591206306,1.8097507713690413,20,500,73,52.522,6833801.98389464
6,92,0.4239611470078764,1.5943615328564817,20,500,70,53.276,2939662.076058171
7,48,0.10693274556884358,1.9778271867314847,10,500,55,29.092,3976139.680131369
8,25,0.1608212505874885,1.838328110686168,13,500,62,39.228,3527062.0131048574
9,78,0.29020345368238537,1.612540163255113,11,500,51,33.352,1986530.9229402454
10,28,0.3994301747107994,1.6442776122989795,16,500,59,42.512,4802483.818825523
11,54,0.16319451970028842,1.7748025631202786,17,500,82,52.292,1539319.6486694713
12,66,0.3929952015454577,1.7780445449200877,15,500,56,38.0,3908513.1151249353
13,13,0.442505550135169,1.048434059071589,10,188,44,11.868,755151.0229566945
14,47,0.15179991491254496,1.5291911595666559,10,175,55,11.926,716507.4821310962
15,32,0.3739604860258973,1.0592284598685948,12,170,57,14.254,871794.1683432678
16,19,0.49733853629318986,0.9610899864426217,14,89,53,6.364,1245818.702898894
17,46,0.08176678561218279,1.2633737347517167,13,54,66,3.188,1345517.013061624
18,77,0.19180499932621675,1.2266551361428661,22,51,111,5.312,2259225.0260721976
19,55,0.4045512499158392,0.8822675748969646,10,46,50,3.034,1053135.2083498463
20,30,0.26509113806085793,1.0211890688553118,12,31,54,1.868,1352939.6798957847
21,11,0.27878731786670324,0.8062602017426346,13,30,69,2.078,1484790.8227983126
22,88,0.3206719311046456,0.8877570486826334,15,29,67,2.378,1687942.7424501244
23,74,0.1533182355136739,1.3913429444024066,13,25,9,0.214,1998332.1800479589
24,20,0.12324408093800047,1.1033649879439784,23,16,6,0.098,3438793.602869014
25,12,0.08171536695664201,1.4011149513075776,10,15,5,0.092,1709321.759500074
26,6,0.38331867584464924,1.9147270250809407,21,14,6,0.076,3210973.360692474
27,76,0.3685357355406393,1.5168903840756187,11,14,6,0.104,1906926.1405290465
28,45,0.10732838920857299,1.4186197774742049,25,13,10,0.166,3505056.1859525284
29,5,0.49080647906526986,1.1204681369650642,17,13,5,0.072,2605743.7622972396
30,95,0.13340633663621637,0.28833780626566274,11,13,5,0.066,1863418.5964247393
31,52,0.4393349663670066,0.6043262788428285,22,12,5,0.058,3276006.4968430963
32,71,0.2476154709487033,0.9707616432215317,20,11,6,0.072,2957008.0394928413
33,53,0.1480703159549725,0.4201530110908383,16,11,5,0.062,2487606.865240246
34,34,0.17494613676960086,1.6733207251090123,26,11,7,0.094,3737928.3724774136
35,59,0.20659409306190968,0.92008555774699,15,11,4,0.06,2435427.3177531296
36,94,0.2944408136151789,1.2051318832017244,25,11,8,0.108,3572986.3208164843
37,68,0.39126615652198626,0.7387019941592314,25,11,4,0.046,3567406.3634072323
38,60,0.12133052862160222,1.3541273305288593,11,10,6,0.056,1848756.4534740357
39,100,0.17846699421724466,0.34600768561801387,19,10,7,0.09,2860149.514192422
40,85,0.21858247897952987,1.2406432930296591,27,10,7,0.068,3878502.15168881
41,9,0.2974908266030118,0.4245192955144782,20,10,7,0.086,3019278.403043837
42,93,0.3854399975105788,1.0999057142438582,22,10,5,0.06,3252414.410164651
43,80,0.17309076895301326,0.950479832399882,18,10,6,0.06,2763881.209971009
44,62,0.16827429488240955,1.3348787508278523,23,9,4,0.042,3365497.217359109
45,90,0.24032566926635662,1.1886302533261037,16,9,6,0.056,2472909.1601080196
46,17,0.37158534489515965,1.4714750382950272,17,9,10,0.106,2704271.141758365
47,16,0.4353034839515193,1.2749189491987079,22,9,8,0.098,3273288.9391416186
48,98,0.13883191587626875,1.4791170782343297,21,9,10,0.112,3069705.366907609
49,70,0.47581634321927524,0.9941553902700381,24,8,6,0.07,3509817.951205328
50,86,0.22939542202299967,1.8928543757575815,28,8,5,0.046,3997441.1250691023
51,51,0.24795104144594615,0.9430802480028349,22,8,5,0.052,3300556.5806492344
52,31,0.22829742038984374,1.5855124512641745,30,8,8,0.072,4313070.3774750475
53,14,0.4121227205544994,0.5275360348193654,27,8,5,0.042,3834808.993179859
54,82,0.15199093874635117,1.6924985823830965,30,7,6,0.054,4236363.102835732
55,44,0.31837450889622504,1.9987519683468002,18,7,6,0.042,2715397.6464746823
56,57,0.47118115438453023,1.11836400105072,29,7,5,0.038,4136359.954350149
57,4,0.051657536911237985,0.9366363950683958,26,7,5,0.042,3730819.945072294
58,18,0.29284423035898194,1.543804051465069,15,7,6,0.05,2427508.5766613837
59,10,0.10518483256483159,1.1424255892878161,15,6,5,0.032,2412458.722931052
60,22,0.2529518041011721,0.5632438757929856,28,6,7,0.06,3897996.5928668897
61,73,0.41259051202150726,1.5643367217697377,30,6,7,0.058,4266203.361488319
62,87,0.09351036070842815,0.6057343572161705,10,6,4,0.034,1744380.9884347457
63,21,0.22154924462159215,0.7957927702249905,13,6,6,0.048,2126041.7229535445
64,23,0.06978589389271063,0.43452352675064576,11,6,5,0.044,1880988.0712149963
65,64,0.14836244273667648,1.041582381465069,17,6,6,0.052,2656415.4015606623
66,8,0.21374447858813372,1.6020316723877859,17,6,5,0.034,2618624.8404751588
67,7,0.1402399737331498,0.9469120761526835,14,6,5,0.042,2263657.7186578
68,63,0.3581785398710716,0.8729391899291729,26,6,6,0.048,3770038.0469931113
69,24,0.3059042849618207,0.6130361276744976,14,6,6,0.058,2229366.2311539575
70,97,0.4834241001473328,0.5874582539538195,27,6,4,0.036,3862405.9885801272
71,79,0.3427406836922706,1.2149899579378562,30,6,6,0.04,4269379.407258848
72,99,0.49611911690913735,1.0952809666581063,12,6,6,0.044,1981481.6282375068
73,56,0.41388170406365127,1.6112081827378508,24,6,5,0.032,3490693.3325648354
74,33,0.25342677926595225,1.583127232988073,29,6,5,0.034,4182642.930238776
75,2,0.36481167014783983,1.3423911657644712,13,5,5,0.034,2122735.6710550813
76,89,0.33305490201808186,1.2737038500971423,23,5,5,0.036,3316629.6518271947
77,96,0.22887788363860867,0.9917115866360391,27,5,4,0.024,3882973.058859351
78,3,0.20411283608995417,1.2099082613382326,30,5,5,0.036,4264542.473597317
79,83,0.32394528738891415,1.941561815070121,24,5,4,0.028,3490770.96604805
80,29,0.33603091267240276,0.47292294024259285,17,5,6,0.044,2576928.756373986
81,81,0.32875181485914473,1.1476881703589297,25,5,6,0.04,3628630.315177576
82,69,0.48039594818529946,1.3522723146015134,26,5,4,0.034,3733921.329955537
83,58,0.14879948675137858,1.2116391425868562,30,5,5,0.03,4272089.833000972
84,43,0.2546383217215469,0.4812424947962694,28,5,5,0.034,4029447.4308854993
85,42,0.34047691307624683,0.43717658528508485,20,5,5,0.036,2998516.4531396525
86,41,0.25245989032168165,0.887561749894344,19,5,5,0.032,2866232.100089329
87,67,0.4576296681958834,1.7469088464524611,23,5,4,0.03,3409440.2153269816
88,26,0.3648285150003444,0.5575500016264816,17,5,4,0.032,2647543.954057727
89,39,0.2060222069205056,0.8399978981352996,28,5,6,0.046,3931135.5645180116
90,38,0.33121699780328495,0.7053576616582304,28,5,4,0.024,4013017.366857437
91,37,0.4586513439322808,0.567992548188543,15,5,5,0.034,2321884.459681433
92,72,0.2527612444861988,0.8660867098400311,15,5,4,0.028,2341735.3692088267
93,50,0.1724575846685259,0.5445454192332098,24,5,5,0.044,3469089.7039139
94,27,0.09550660790308368,0.8652345641556678,23,5,4,0.034,3322622.869269093
95,1,0.2924226086533648,0.434296207548503,14,5,4,0.028,2268554.7485343404
96,40,0.1997266891024772,0.7412147395039435,27,4,4,0.024,3835561.7755543813
97,65,0.1892124714200456,1.0908536090060936,25,4,5,0.032,3595760.6885402473
98,61,0.38559716730204563,1.3970356500183256,26,4,4,0.024,3742763.6168265645
99,35,0.11628731867588835,1.1378772433599171,14,4,4,0.024,2275146.4127089554
