Simulation,Consumption Min,Consumption Max,Resource Replenishment Rate,Longevity,Max Population,Avg Population,Total Resources
51,0.4054773611992697,1.5213207184408872,10,500,34,21.862,1627645.4375928366
17,0.17269281714576268,1.4745592865335018,19,500,86,52.606,220138.8463572306
90,0.2630421934082492,1.5163140409785616,13,500,48,32.106,1110953.5268341568
89,0.13430792082897378,1.7691950528056275,10,500,40,24.446,1131343.1297635396
87,0.4326756398973326,1.59848563398795,19,500,54,38.434,4363212.477450407
83,0.2618590368491545,1.749851177070173,13,500,52,29.826,3573357.1132171075
73,0.3259524194423256,1.656849783167934,19,500,64,42.348,3594985.3352210717
60,0.3113593650373357,1.774725176878608,15,500,50,31.638,4309007.270130712
56,0.21568607422752112,1.9889027108613502,10,500,42,21.86,5124286.140603056
45,0.10924799346122288,1.4227801659406456,11,500,52,32.978,159231.53570927205
36,0.3523490904067367,0.7777072958687274,12,500,53,39.668,22829.3357340177
28,0.2977952454870188,1.4971417934231577,21,500,80,51.452,1416353.5667971512
27,0.0892208002342581,1.922565333586781,12,500,55,26.496,2821614.62880193
25,0.39473574101822534,0.654031132401832,11,500,50,36.324,49790.51359491413
23,0.26001376727543496,1.6171607924189635,10,500,39,23.56,1686938.2403810134
21,0.47884354737192364,1.9047478090340921,14,500,41,25.228,4463134.795765954
100,0.4619388103751878,1.9394770258128335,22,500,55,39.3,7975013.443958789
10,0.3440582395044211,1.934261757076917,15,500,47,29.63,5913785.919191811
9,0.12069069868712713,1.5885668492436786,22,500,92,61.468,314308.5625962822
14,0.19344748146288987,1.6293796742514128,10,500,40,25.366,854332.0656241584
3,0.4951002072055638,1.1411823190898787,10,500,34,23.45,718441.3618361509
13,0.1890213501078336,1.9744391389623823,10,500,41,21.716,3502924.7332682135
4,0.40486043477995576,1.6640596451385852,11,500,40,22.864,2471018.1603260883
53,0.2865889376084907,0.6927579823612323,19,23,5,0.082,2833552.484974551
50,0.36742303023752726,1.996692556375644,28,19,5,0.086,4041676.7029312616
35,0.05647259262479137,0.5091047583866735,14,18,5,0.104,2194293.9205290205
92,0.13730179453567193,1.6131390338839369,12,17,5,0.094,1890184.6981353492
82,0.4766430313114767,0.9724764463589162,27,16,4,0.052,3951739.3221134795
34,0.18215426731095063,1.3579197181295113,21,16,5,0.1,3208767.6793078035
30,0.18267768936955203,0.4012822373089926,11,16,4,0.076,1795409.250525406
55,0.1215445274260141,0.8402178319645554,28,16,4,0.058,3982492.9267037306
88,0.11688906986357989,1.5331423882774162,15,14,5,0.07,2376296.32504256
11,0.46136083549007884,1.527105655500508,24,14,5,0.086,3519719.9611379583
41,0.1904862308015169,1.4787997189299162,15,13,8,0.104,2145709.9620532524
2,0.16443668369374048,1.056673261523931,24,12,5,0.062,3415653.8727977313
43,0.053443393089467356,1.907018308466174,29,12,6,0.076,4131220.169400657
68,0.48341519358928026,0.6495360857504352,20,12,8,0.106,3028170.2928329725
78,0.23200100779918326,1.7453253315279378,22,12,7,0.114,3120484.2645401983
74,0.0870391780160594,1.2593262401914287,13,11,5,0.078,2147604.7633128087
75,0.36629724413551273,1.7971113609475147,18,11,8,0.104,2870557.726815801
19,0.4214406551270298,0.8864881874171584,24,11,4,0.064,3560198.223668404
64,0.4018720510183086,1.7085967595971634,30,11,4,0.04,4301325.393047673
42,0.1619380984913897,0.2709756253409994,22,11,5,0.058,3238692.4900439177
85,0.08821607768262894,0.4523208094707411,26,11,4,0.056,3710710.319665144
95,0.42205654230153067,0.5971197756703122,29,11,4,0.052,4156587.2742170994
65,0.05271606826441608,1.2545427571298418,30,10,4,0.042,4264244.4898706265
86,0.22201207752501562,0.3071107537176654,25,10,4,0.058,3652068.2622413994
31,0.4735304858306706,1.1845629329747718,16,10,6,0.07,2385467.504579793
91,0.37365524278831336,1.889878576325967,30,10,6,0.07,4319368.028613142
29,0.22680884895307296,0.9213824866524619,14,9,4,0.044,2221689.2009007116
57,0.11614520579919951,0.47429958721840176,19,9,6,0.056,2787718.3341923608
16,0.07967288991256484,0.9761650563203529,11,9,6,0.07,1838183.2871843989
