Simulation,Consumption Min,Consumption Max,Resource Replenishment Rate,Longevity,Max Population,Avg Population,Total Resources
847,0.31692280441014464,1.5327364636681333,10,500,36,23.574,2142207.1664771046
809,0.4379191722452793,1.794796473222759,14,500,41,27.13,4804900.596598329
176,0.11561517209029032,1.4274425579705154,10,500,51,30.94,276620.82385970256
833,0.22893117026104037,1.8886743077845818,15,500,54,32.718,4702618.04904376
832,0.09363843438395378,1.7882965111704108,12,500,55,29.44,1360988.7711252775
181,0.20307405318832034,1.8668818151139321,15,500,51,34.51,4407670.613814276
831,0.29706210102782016,1.7136531117931835,19,500,61,42.09,5618194.919974608
418,0.10271865349735053,1.2242548465429839,14,500,72,48.346,63854.68110322345
184,0.30508215709465875,1.9584308098794045,12,500,38,24.09,4719962.191068762
610,0.225745296373436,1.9922041928001435,16,500,56,33.782,6054079.466272926
186,0.170117545422595,1.2546415124841923,18,500,85,58.65,91674.86408013906
818,0.45364260959507663,1.5432641197756278,10,500,31,20.626,2262458.903307743
611,0.42325285679717706,1.7391530799490864,22,500,59,43.64,5019731.231561767
195,0.37994130733869336,1.3724145472753593,14,500,48,32.886,684199.193490281
812,0.08364990205604768,1.2077167044952477,21,500,105,77.204,27484.330284780128
807,0.2837391706148578,1.6572215927091407,19,500,61,42.972,4093994.0146843223
125,0.4009375394322421,1.8031762378873637,10,500,34,20.218,3505523.892217684
620,0.1339344005524215,1.6963974948940364,10,500,43,26.5,1936587.6672373435
205,0.4019300951793961,1.703369041281772,15,500,45,30.578,4565361.072017837
799,0.2548952624921069,1.689065308068363,13,500,46,30.226,2313169.5125288647
401,0.14609463220971508,1.9392867348328857,13,500,51,28.796,3004267.5475334995
621,0.06821206999270685,1.81416548904597,23,500,80,50.686,5079733.677658653
398,0.34082015907205826,1.5085325367283102,11,500,40,25.614,1725951.8340018063
212,0.354078172665403,1.1586229286719076,17,500,65,45.594,158222.8123723763
622,0.09162645543053191,1.8643643760377748,11,500,46,25.622,2990851.397127264
626,0.3552830849276504,1.8942804719728195,11,500,35,21.612,3220435.449229671
389,0.40903889792893544,1.2978684921547858,11,500,41,26.296,1431487.5025600104
222,0.43075252047920076,1.3475093795299777,19,500,58,43.024,1736930.3633725164
780,0.11170143670081235,1.860839473110623,15,500,59,36.59,2614013.5004819767
779,0.3136413729619352,1.944585022828468,17,500,56,34.158,5172204.0877064
608,0.47384100748791813,0.9094008387698964,11,500,41,28.906,83309.40922691546
834,0.2900042225708672,0.8949115684513633,10,500,49,33.884,27058.836003234745
841,0.08683415429861759,1.8372701886207554,12,500,47,27.784,1492802.3535816276
606,0.3576043933627851,1.6427738015224238,15,500,48,32.736,3234311.366490856
127,0.18520843639044804,1.8912438260406845,17,500,58,37.928,4908103.983592072
585,0.27336645805126925,1.2807549231581348,15,500,60,41.8,219036.77304024436
877,0.14098133305575,1.6322289020488308,13,500,54,32.394,2784285.3161717155
444,0.19722953121655806,1.509588010017323,21,500,79,57.21,456859.2286107282
875,0.49696501674019633,1.4930922557597524,10,500,33,20.412,2736391.5563790733
586,0.12286408587904502,1.1923609969158961,13,500,70,45.676,33304.99993125644
137,0.4442983907427561,1.8305501808888267,12,500,34,22.442,3187340.7735444307
442,0.3035369573888611,1.9354222977265638,13,500,43,26.776,5085469.757231884
872,0.4573179558507881,1.6655218909377714,12,500,39,23.892,5553047.800287574
871,0.4732530677220128,1.1651963888268946,13,500,41,30.5,514704.5728482909
869,0.353942123653139,1.797527559691665,15,500,45,30.5,4292532.250982997
866,0.45737634116006853,1.8067538650371149,10,500,32,18.748,3612032.936500913
144,0.15771890382933657,1.6306026669178106,14,500,58,35.696,1955785.250059963
146,0.337170578783356,1.3167925878152755,11,500,42,28.36,817912.7640271408
593,0.3968156053612129,1.793701316259944,13,500,38,25.824,5035434.782061271
863,0.2059877004314949,1.5354570481378853,25,500,92,66.116,3197995.0374119976
150,0.2692603968897114,1.6886974849883305,18,500,62,42.378,3985534.355241411
595,0.44132095962205475,0.9664433985148144,14,500,49,37.122,98242.43964286897
855,0.2572604892801789,1.744095240396804,16,500,61,36.668,4410799.7325400915
155,0.42099057635444903,1.5401878727439489,12,500,39,25.856,2142021.6101778843
435,0.4612802856105036,1.6553835037427806,20,500,53,38.826,6858019.411095698
431,0.453680340863221,1.8735170716434135,26,500,72,47.964,7676421.475300342
685,0.4817500393260444,1.0229918485093175,11,500,38,27.01,79062.63397962577
