,Simulation,Consumption Min,Consumption Max,Resource Replenishment Rate,Longevity,Max Population,Avg Population,Total Resources
0,79,0.40846661679533414,1.99683747393851,17,500,58,39.674,6980425.838508655
1,62,0.2637911424917978,1.74216515082072,10,500,44,28.788,2814243.7512083217
2,56,0.362352190737854,1.6099591091341645,22,500,85,60.928,5879815.286361688
3,28,0.1452456539414862,1.946817497672271,15,500,64,42.024,3684965.7123840516
4,94,0.4618134816759508,1.7848311419765186,20,500,67,48.156,6723568.833292403
5,57,0.4987367552902081,1.8378947219970594,16,500,55,38.134,6206961.026522689
6,46,0.35965910565215825,1.9533837968951107,25,500,82,60.604,9501010.77564759
7,58,0.37632530481641346,1.7869778786963093,16,500,59,42.104,5393798.167974782
8,52,0.2746255244606576,1.989989587843163,13,500,53,35.122,5487036.610711724
9,38,0.3799807826637157,1.5287212549573486,19,500,71,54.276,1178217.6450789906
10,92,0.11696016473780317,1.7212757673741739,23,500,108,74.718,1112939.759450599
11,8,0.3222688173323285,1.7744839967496013,15,500,56,40.796,4864885.080078866
12,44,0.18392074380811746,1.933386022259108,10,500,54,28.312,4133117.390987375
13,9,0.3519751925635394,1.6424005545293192,19,500,72,52.986,3591563.023679506
14,66,0.4793158671498479,1.4555725625732214,11,500,41,29.518,2363604.986236968
15,64,0.2558097802970245,1.436708474548255,15,365,74,36.206,709797.1401943705
16,30,0.1878195523870353,1.5621606071842642,15,308,83,33.208,662963.0967057197
17,5,0.3728347035729445,1.2399429032808156,18,234,78,26.662,947794.2641468185
18,14,0.4933659898761039,1.233061977560989,16,212,56,17.804,899136.8406530792
19,15,0.3287564698810986,1.3091270042162528,15,168,70,15.49,999586.370913598
20,63,0.435818909322893,1.2162417001287193,13,142,50,10.748,980071.2369795525
21,55,0.11095421315822317,1.2648327058506719,10,103,62,7.45,840927.8256204656
22,3,0.42624518944089274,1.259020569209146,11,103,39,5.408,953605.3663171451
23,11,0.30694000862968385,1.2496487489265191,12,99,61,7.848,1027537.7317217938
24,82,0.2453570457650916,1.1347240205289828,12,67,61,6.068,1162855.286454196
25,35,0.27190282997924303,1.5340157557785377,19,44,71,3.534,2071547.9518002344
26,45,0.20805758952915687,0.9901535253796544,13,24,68,1.242,1500083.4135244065
27,24,0.45084298522481947,0.7995279724608244,15,18,7,0.112,2240506.9038522756
28,59,0.19721193164908069,1.4666874923787612,23,16,6,0.084,3336075.0850670333
29,61,0.2453823801029849,0.817129422213654,12,16,6,0.098,1977357.842132008
30,96,0.1524197716053353,0.9249972395868997,15,15,7,0.084,2269346.4358461984
31,95,0.0709925832766193,0.7955648906924323,14,15,9,0.158,2107132.204649585
32,23,0.16652453409815654,0.9266462910684632,29,12,6,0.07,4106790.5077251634
33,75,0.349798989757625,0.8628308956240456,13,11,8,0.1,2040858.6242779898
34,81,0.0564112568258155,0.3797619239613716,12,11,4,0.06,1899170.2834806521
35,17,0.09383048525822493,1.4811067716094057,27,10,10,0.132,3954192.572968087
36,87,0.21494746507527857,1.805734084409844,17,10,6,0.08,2663209.122304063
37,10,0.3432739298957162,0.6389899170403371,26,10,5,0.054,3645809.449220984
38,29,0.1262872965151644,0.5604719147016564,18,9,5,0.056,2710418.0870399424
39,19,0.3913671657892882,1.6356131436251138,24,9,8,0.09,3371526.1399261896
40,88,0.08991072904971023,0.4793703453518403,10,9,5,0.062,1669881.0840357018
41,43,0.36811199797563215,1.9905366384268761,30,9,6,0.068,4270773.831022479
42,53,0.3487492921179127,1.0533304349686716,22,8,8,0.076,3275328.1283879406
43,49,0.15363728541411034,0.3778744570179605,15,8,5,0.048,2368613.404657761
44,60,0.0953102140182554,0.2780437903954417,28,8,6,0.062,3978501.5505891033
45,80,0.05886216568092559,0.8586327414845756,19,8,5,0.05,2859621.847498771
46,16,0.26435948756670724,0.6775373728938856,22,8,4,0.036,3271421.6454429496
47,74,0.12324381366435316,1.6503854444705504,24,8,6,0.054,3558044.348682321
48,36,0.2885660827635996,0.7892121386375148,30,8,6,0.062,4202922.988906618
49,33,0.2991167750197505,0.7681377728327528,14,8,7,0.052,2236323.8557498483
50,93,0.1139965209949871,1.9368823256962127,22,8,5,0.048,3320266.5066981493
51,99,0.4759394391226165,1.0468338630006306,21,8,5,0.046,3073610.323551933
52,41,0.07178170431392679,1.948256804249307,12,7,5,0.036,1987364.4539115625
53,70,0.4533935505017334,1.2535687215329878,16,7,4,0.04,2535650.591156886
54,83,0.3118540277279913,1.0750688075772201,11,7,4,0.042,1932037.413255162
55,68,0.37481760966406114,1.1199995365577866,22,7,7,0.064,3297293.7910663425
56,85,0.16392010141401506,1.4022477483780638,15,7,6,0.056,2385753.6756842765
57,65,0.36534119549926886,0.7812225838764248,12,7,8,0.062,2005579.4847267396
58,12,0.3573808124123848,1.3274319254999978,25,7,5,0.042,3667636.8590052784
59,18,0.30852190677742736,0.7422060546280707,20,7,5,0.048,2982833.064593429
60,48,0.1904096812645229,1.5822689360744229,20,7,6,0.054,3011036.837735267
61,21,0.2980350675171536,1.0496761284676315,19,7,5,0.04,2860148.0116896452
62,91,0.059094875107236704,1.8123345405522602,23,7,4,0.04,3419634.2543844045
63,2,0.1443521647733319,1.4140289029009947,21,7,5,0.036,3076701.349319385
64,37,0.35468732688774995,0.9380741487459596,29,7,4,0.04,4159905.843953535
65,13,0.4040200231624155,0.837798727131362,23,6,5,0.038,3388027.854161509
66,76,0.3425465588936339,1.7914207415577947,30,6,4,0.038,4233490.441897177
67,22,0.4315416806043049,1.1494554119260256,30,6,5,0.038,4173670.048780709
68,25,0.3994679782267237,0.8586002177429215,29,6,4,0.03,4084241.3218816626
69,86,0.2821924548633657,1.4426261578476491,16,6,5,0.042,2463732.088584925
70,50,0.33910197161465216,1.1857847253483664,26,6,6,0.036,3713302.217620061
71,4,0.4132298513301007,1.06197562325834,28,6,5,0.038,3942330.6569411624
72,72,0.42619951206533635,0.46473839246216664,17,6,6,0.04,2581662.2189177666
73,1,0.06868101385409076,1.7704802631532675,15,5,4,0.024,2431161.534292168
74,89,0.09600126961815536,0.7819246596493739,28,5,5,0.038,4022478.1116239415
75,98,0.10480369102332357,0.8370129301625326,18,5,4,0.024,2771970.005657177
76,90,0.2414970037999083,0.7650590379219324,28,5,4,0.028,3958375.6703265132
77,51,0.0754135514816848,1.5640387989827653,24,5,4,0.034,3483925.8041899116
78,78,0.2882758110349966,1.077978512603432,25,5,4,0.032,3647005.066170083
79,42,0.06847256330897224,0.7538234752400824,20,5,4,0.03,2989291.3826080444
80,6,0.2290742932664589,1.1475666184087023,19,5,4,0.022,2888068.8605006747
81,20,0.1130973791387476,1.2723969573213378,22,5,4,0.032,3171030.918492104
82,27,0.40371325694904975,1.3665654502782842,22,5,4,0.032,3170768.6892628116
83,34,0.07372023142349685,0.27181596517320056,19,5,4,0.03,2842866.970397812
84,77,0.11890620014552444,0.2620875386339272,21,5,4,0.026,3135193.0404993366
85,100,0.31564999786647596,0.6902520223548924,26,5,4,0.028,3733162.5003428445
86,54,0.11449681959824784,0.8221246077702001,21,5,4,0.03,3128684.0813444816
87,69,0.1222115959353753,0.16359403828227756,21,5,7,0.052,3107460.6274714167
88,71,0.1426099157404831,0.9404301575092401,24,5,4,0.032,3515379.7091368977
89,73,0.1842983382127117,1.2495520031859866,24,5,4,0.034,3533401.3535509137
90,40,0.1914415287867235,1.5627053682842498,11,4,4,0.024,1860722.7493481017
91,67,0.26001061098495565,0.9278688776427411,26,4,4,0.026,3769458.7301643593
